William Harrison Woodward	Woodward, William Harrison (1856-1941)	http://data.bnf.fr/ark:/12148/cb16761475p#foaf:Person	http://www.idref.fr/133850870
M Paul Etienne Victor Wachs	Wachs, Paul Etienne Victor (1851-1915)	http://data.bnf.fr/ark:/12148/cb14796883z#foaf:Person	http://www.idref.fr/116004495
M. Wachs	Wachs, Paul Etienne Victor (1851-1915)	http://data.bnf.fr/ark:/12148/cb14796883z#foaf:Person	http://www.idref.fr/116004495
M. Paul Etienne Victor Wachs	Wachs, Paul Etienne Victor (1851-1915)	http://data.bnf.fr/ark:/12148/cb14796883z#foaf:Person	http://www.idref.fr/116004495
Hans Wegener	Wegener, Hans (1896-1980)	http://data.bnf.fr/ark:/12148/cb14469074c#foaf:Person	http://www.idref.fr/085948446
Wegener	Wegener, Hans (1896-1980)	http://data.bnf.fr/ark:/12148/cb14469074c#foaf:Person	http://www.idref.fr/085948446
H Wegener	Wegener, Hans (1896-1980)	http://data.bnf.fr/ark:/12148/cb14469074c#foaf:Person	http://www.idref.fr/085948446
H. Wegener	Wegener, Hans (1896-1980)	http://data.bnf.fr/ark:/12148/cb14469074c#foaf:Person	http://www.idref.fr/085948446
M Wegener	Wegener, Hans (1896-1980)	http://data.bnf.fr/ark:/12148/cb14469074c#foaf:Person	http://www.idref.fr/085948446
M Hans Wegener	Wegener, Hans (1896-1980)	http://data.bnf.fr/ark:/12148/cb14469074c#foaf:Person	http://www.idref.fr/085948446
M. Wegener	Wegener, Hans (1896-1980)	http://data.bnf.fr/ark:/12148/cb14469074c#foaf:Person	http://www.idref.fr/085948446
M. Hans Wegener	Wegener, Hans (1896-1980)	http://data.bnf.fr/ark:/12148/cb14469074c#foaf:Person	http://www.idref.fr/085948446
Michael Wise	Wise, Michael (1647-1687)	http://data.bnf.fr/ark:/12148/cb14849527h#foaf:Person
Wise	Wise, Michael (1647-1687)	http://data.bnf.fr/ark:/12148/cb14849527h#foaf:Person
M Wise	Wise, Michael (1647-1687)	http://data.bnf.fr/ark:/12148/cb14849527h#foaf:Person
M. Wise	Wise, Michael (1647-1687)	http://data.bnf.fr/ark:/12148/cb14849527h#foaf:Person
M Wise	Wise, Michael (1647-1687)	http://data.bnf.fr/ark:/12148/cb14849527h#foaf:Person
M Michael Wise	Wise, Michael (1647-1687)	http://data.bnf.fr/ark:/12148/cb14849527h#foaf:Person
M. Wise	Wise, Michael (1647-1687)	http://data.bnf.fr/ark:/12148/cb14849527h#foaf:Person
M. Michael Wise	Wise, Michael (1647-1687)	http://data.bnf.fr/ark:/12148/cb14849527h#foaf:Person
Heinrich Wegmann	Wegmann, Heinrich (1891--)	http://data.bnf.fr/ark:/12148/cb165563214#foaf:Person
Wegmann	Wegmann, Heinrich (1891--)	http://data.bnf.fr/ark:/12148/cb165563214#foaf:Person
H Wegmann	Wegmann, Heinrich (1891--)	http://data.bnf.fr/ark:/12148/cb165563214#foaf:Person
H. Wegmann	Wegmann, Heinrich (1891--)	http://data.bnf.fr/ark:/12148/cb165563214#foaf:Person
M Wegmann	Wegmann, Heinrich (1891--)	http://data.bnf.fr/ark:/12148/cb165563214#foaf:Person
M Heinrich Wegmann	Wegmann, Heinrich (1891--)	http://data.bnf.fr/ark:/12148/cb165563214#foaf:Person
M. Wegmann	Wegmann, Heinrich (1891--)	http://data.bnf.fr/ark:/12148/cb165563214#foaf:Person
M. Heinrich Wegmann	Wegmann, Heinrich (1891--)	http://data.bnf.fr/ark:/12148/cb165563214#foaf:Person
Mary Wollstonecraft Godwin	Wollstonecraft, Mary (1759-1797)	http://data.bnf.fr/ark:/12148/cb119293724#foaf:Person	http://www.idref.fr/027688674	http://dbpedia.org/resource/Mary_Wollstonecraft
Mary Wollstonecraft	Wollstonecraft, Mary (1759-1797)	http://data.bnf.fr/ark:/12148/cb119293724#foaf:Person	http://www.idref.fr/027688674	http://dbpedia.org/resource/Mary_Wollstonecraft
Wollstonecraft	Wollstonecraft, Mary (1759-1797)	http://data.bnf.fr/ark:/12148/cb119293724#foaf:Person	http://www.idref.fr/027688674	http://dbpedia.org/resource/Mary_Wollstonecraft
M Wollstonecraft	Wollstonecraft, Mary (1759-1797)	http://data.bnf.fr/ark:/12148/cb119293724#foaf:Person	http://www.idref.fr/027688674	http://dbpedia.org/resource/Mary_Wollstonecraft
M. Wollstonecraft	Wollstonecraft, Mary (1759-1797)	http://data.bnf.fr/ark:/12148/cb119293724#foaf:Person	http://www.idref.fr/027688674	http://dbpedia.org/resource/Mary_Wollstonecraft
Mme Wollstonecraft	Wollstonecraft, Mary (1759-1797)	http://data.bnf.fr/ark:/12148/cb119293724#foaf:Person	http://www.idref.fr/027688674	http://dbpedia.org/resource/Mary_Wollstonecraft
Mme Mary Wollstonecraft	Wollstonecraft, Mary (1759-1797)	http://data.bnf.fr/ark:/12148/cb119293724#foaf:Person	http://www.idref.fr/027688674	http://dbpedia.org/resource/Mary_Wollstonecraft
Mme. Wollstonecraft	Wollstonecraft, Mary (1759-1797)	http://data.bnf.fr/ark:/12148/cb119293724#foaf:Person	http://www.idref.fr/027688674	http://dbpedia.org/resource/Mary_Wollstonecraft
Mme. Mary Wollstonecraft	Wollstonecraft, Mary (1759-1797)	http://data.bnf.fr/ark:/12148/cb119293724#foaf:Person	http://www.idref.fr/027688674	http://dbpedia.org/resource/Mary_Wollstonecraft
Mr Cresswick	Wollstonecraft, Mary (1759-1797)	http://data.bnf.fr/ark:/12148/cb119293724#foaf:Person	http://www.idref.fr/027688674	http://dbpedia.org/resource/Mary_Wollstonecraft
Carl Wahlund	Wahlund, Carl (1896--)	http://data.bnf.fr/ark:/12148/cb12206973x#foaf:Person
Wahlund	Wahlund, Carl (1896--)	http://data.bnf.fr/ark:/12148/cb12206973x#foaf:Person
C Wahlund	Wahlund, Carl (1896--)	http://data.bnf.fr/ark:/12148/cb12206973x#foaf:Person
C. Wahlund	Wahlund, Carl (1896--)	http://data.bnf.fr/ark:/12148/cb12206973x#foaf:Person
M Wahlund	Wahlund, Carl (1896--)	http://data.bnf.fr/ark:/12148/cb12206973x#foaf:Person
M Carl Wahlund	Wahlund, Carl (1896--)	http://data.bnf.fr/ark:/12148/cb12206973x#foaf:Person
M. Wahlund	Wahlund, Carl (1896--)	http://data.bnf.fr/ark:/12148/cb12206973x#foaf:Person
M. Carl Wahlund	Wahlund, Carl (1896--)	http://data.bnf.fr/ark:/12148/cb12206973x#foaf:Person
Walburg de Bray	Walburg de Bray, Jean (1839--)	http://data.bnf.fr/ark:/12148/cb14977442f#foaf:Person
Jean Walburg de Bray	Walburg de Bray, Jean (1839--)	http://data.bnf.fr/ark:/12148/cb14977442f#foaf:Person
Walburg de Bray	Walburg de Bray, Jean (1839--)	http://data.bnf.fr/ark:/12148/cb14977442f#foaf:Person
J Walburg de Bray	Walburg de Bray, Jean (1839--)	http://data.bnf.fr/ark:/12148/cb14977442f#foaf:Person
J. Walburg de Bray	Walburg de Bray, Jean (1839--)	http://data.bnf.fr/ark:/12148/cb14977442f#foaf:Person
M Walburg de Bray	Walburg de Bray, Jean (1839--)	http://data.bnf.fr/ark:/12148/cb14977442f#foaf:Person
M Jean Walburg de Bray	Walburg de Bray, Jean (1839--)	http://data.bnf.fr/ark:/12148/cb14977442f#foaf:Person
M. Walburg de Bray	Walburg de Bray, Jean (1839--)	http://data.bnf.fr/ark:/12148/cb14977442f#foaf:Person
M. Jean Walburg de Bray	Walburg de Bray, Jean (1839--)	http://data.bnf.fr/ark:/12148/cb14977442f#foaf:Person
Jean Auguste Théodore Walburg de Bray	Walburg de Bray, Jean (1839--)	http://data.bnf.fr/ark:/12148/cb14977442f#foaf:Person
Aimé Witz	Witz, Aimé (1848-1926)	http://data.bnf.fr/ark:/12148/cb13077724n#foaf:Person	http://www.idref.fr/034513787
Witz	Witz, Aimé (1848-1926)	http://data.bnf.fr/ark:/12148/cb13077724n#foaf:Person	http://www.idref.fr/034513787
A Witz	Witz, Aimé (1848-1926)	http://data.bnf.fr/ark:/12148/cb13077724n#foaf:Person	http://www.idref.fr/034513787
A. Witz	Witz, Aimé (1848-1926)	http://data.bnf.fr/ark:/12148/cb13077724n#foaf:Person	http://www.idref.fr/034513787
M Witz	Witz, Aimé (1848-1926)	http://data.bnf.fr/ark:/12148/cb13077724n#foaf:Person	http://www.idref.fr/034513787
M Aimé Witz	Witz, Aimé (1848-1926)	http://data.bnf.fr/ark:/12148/cb13077724n#foaf:Person	http://www.idref.fr/034513787
M. Witz	Witz, Aimé (1848-1926)	http://data.bnf.fr/ark:/12148/cb13077724n#foaf:Person	http://www.idref.fr/034513787
M. Aimé Witz	Witz, Aimé (1848-1926)	http://data.bnf.fr/ark:/12148/cb13077724n#foaf:Person	http://www.idref.fr/034513787
Wallis Warfield	Windsor, Wallis of (1896-1986)	http://data.bnf.fr/ark:/12148/cb11996401m#foaf:Person	http://dbpedia.org/resource/Wallis_Simpson	http://www.idref.fr/027457737
Wallis of Windsor	Windsor, Wallis of (1896-1986)	http://data.bnf.fr/ark:/12148/cb11996401m#foaf:Person	http://dbpedia.org/resource/Wallis_Simpson	http://www.idref.fr/027457737
Windsor	Windsor, Wallis of (1896-1986)	http://data.bnf.fr/ark:/12148/cb11996401m#foaf:Person	http://dbpedia.org/resource/Wallis_Simpson	http://www.idref.fr/027457737
W Windsor	Windsor, Wallis of (1896-1986)	http://data.bnf.fr/ark:/12148/cb11996401m#foaf:Person	http://dbpedia.org/resource/Wallis_Simpson	http://www.idref.fr/027457737
W. Windsor	Windsor, Wallis of (1896-1986)	http://data.bnf.fr/ark:/12148/cb11996401m#foaf:Person	http://dbpedia.org/resource/Wallis_Simpson	http://www.idref.fr/027457737
Mme Windsor	Windsor, Wallis of (1896-1986)	http://data.bnf.fr/ark:/12148/cb11996401m#foaf:Person	http://dbpedia.org/resource/Wallis_Simpson	http://www.idref.fr/027457737
Mme Wallis of Windsor	Windsor, Wallis of (1896-1986)	http://data.bnf.fr/ark:/12148/cb11996401m#foaf:Person	http://dbpedia.org/resource/Wallis_Simpson	http://www.idref.fr/027457737
Mme. Windsor	Windsor, Wallis of (1896-1986)	http://data.bnf.fr/ark:/12148/cb11996401m#foaf:Person	http://dbpedia.org/resource/Wallis_Simpson	http://www.idref.fr/027457737
Mme. Wallis of Windsor	Windsor, Wallis of (1896-1986)	http://data.bnf.fr/ark:/12148/cb11996401m#foaf:Person	http://dbpedia.org/resource/Wallis_Simpson	http://www.idref.fr/027457737
Duchesse de Windsor	Windsor, Wallis of (1896-1986)	http://data.bnf.fr/ark:/12148/cb11996401m#foaf:Person	http://dbpedia.org/resource/Wallis_Simpson	http://www.idref.fr/027457737
Wallis Warfield Windsor	Windsor, Wallis of (1896-1986)	http://data.bnf.fr/ark:/12148/cb11996401m#foaf:Person	http://dbpedia.org/resource/Wallis_Simpson	http://www.idref.fr/027457737
Wallis Warfield Simpson	Windsor, Wallis of (1896-1986)	http://data.bnf.fr/ark:/12148/cb11996401m#foaf:Person	http://dbpedia.org/resource/Wallis_Simpson	http://www.idref.fr/027457737
G. de W.	Warnery, Charles Emmanuel de (1719-1786)	http://data.bnf.fr/ark:/12148/cb12001686w#foaf:Person
Charles Emmanuel de Warnery	Warnery, Charles Emmanuel de (1719-1786)	http://data.bnf.fr/ark:/12148/cb12001686w#foaf:Person
Warnery	Warnery, Charles Emmanuel de (1719-1786)	http://data.bnf.fr/ark:/12148/cb12001686w#foaf:Person
de Warnery	Warnery, Charles Emmanuel de (1719-1786)	http://data.bnf.fr/ark:/12148/cb12001686w#foaf:Person
De Warnery	Warnery, Charles Emmanuel de (1719-1786)	http://data.bnf.fr/ark:/12148/cb12001686w#foaf:Person
C E Warnery	Warnery, Charles Emmanuel de (1719-1786)	http://data.bnf.fr/ark:/12148/cb12001686w#foaf:Person
C. E. Warnery	Warnery, Charles Emmanuel de (1719-1786)	http://data.bnf.fr/ark:/12148/cb12001686w#foaf:Person
C E de Warnery	Warnery, Charles Emmanuel de (1719-1786)	http://data.bnf.fr/ark:/12148/cb12001686w#foaf:Person
C E De Warnery	Warnery, Charles Emmanuel de (1719-1786)	http://data.bnf.fr/ark:/12148/cb12001686w#foaf:Person
C. E. De Warnery	Warnery, Charles Emmanuel de (1719-1786)	http://data.bnf.fr/ark:/12148/cb12001686w#foaf:Person
C. E. de Warnery	Warnery, Charles Emmanuel de (1719-1786)	http://data.bnf.fr/ark:/12148/cb12001686w#foaf:Person
M de Warnery	Warnery, Charles Emmanuel de (1719-1786)	http://data.bnf.fr/ark:/12148/cb12001686w#foaf:Person
M Warnery	Warnery, Charles Emmanuel de (1719-1786)	http://data.bnf.fr/ark:/12148/cb12001686w#foaf:Person
M Warnery	Warnery, Charles Emmanuel de (1719-1786)	http://data.bnf.fr/ark:/12148/cb12001686w#foaf:Person
M Charles Emmanuel de Warnery	Warnery, Charles Emmanuel de (1719-1786)	http://data.bnf.fr/ark:/12148/cb12001686w#foaf:Person
M. Warnery	Warnery, Charles Emmanuel de (1719-1786)	http://data.bnf.fr/ark:/12148/cb12001686w#foaf:Person
M. Charles Emmanuel de Warnery	Warnery, Charles Emmanuel de (1719-1786)	http://data.bnf.fr/ark:/12148/cb12001686w#foaf:Person
Devorme	Wailly, Jules de (1806-1866)	http://data.bnf.fr/ark:/12148/cb107327352#foaf:Person	http://www.idref.fr/077899245
Jules de Wailly	Wailly, Jules de (1806-1866)	http://data.bnf.fr/ark:/12148/cb107327352#foaf:Person	http://www.idref.fr/077899245
Wailly	Wailly, Jules de (1806-1866)	http://data.bnf.fr/ark:/12148/cb107327352#foaf:Person	http://www.idref.fr/077899245
de Wailly	Wailly, Jules de (1806-1866)	http://data.bnf.fr/ark:/12148/cb107327352#foaf:Person	http://www.idref.fr/077899245
De Wailly	Wailly, Jules de (1806-1866)	http://data.bnf.fr/ark:/12148/cb107327352#foaf:Person	http://www.idref.fr/077899245
J Wailly	Wailly, Jules de (1806-1866)	http://data.bnf.fr/ark:/12148/cb107327352#foaf:Person	http://www.idref.fr/077899245
J. Wailly	Wailly, Jules de (1806-1866)	http://data.bnf.fr/ark:/12148/cb107327352#foaf:Person	http://www.idref.fr/077899245
J de Wailly	Wailly, Jules de (1806-1866)	http://data.bnf.fr/ark:/12148/cb107327352#foaf:Person	http://www.idref.fr/077899245
J De Wailly	Wailly, Jules de (1806-1866)	http://data.bnf.fr/ark:/12148/cb107327352#foaf:Person	http://www.idref.fr/077899245
J. De Wailly	Wailly, Jules de (1806-1866)	http://data.bnf.fr/ark:/12148/cb107327352#foaf:Person	http://www.idref.fr/077899245
J. de Wailly	Wailly, Jules de (1806-1866)	http://data.bnf.fr/ark:/12148/cb107327352#foaf:Person	http://www.idref.fr/077899245
M de Wailly	Wailly, Jules de (1806-1866)	http://data.bnf.fr/ark:/12148/cb107327352#foaf:Person	http://www.idref.fr/077899245
M Wailly	Wailly, Jules de (1806-1866)	http://data.bnf.fr/ark:/12148/cb107327352#foaf:Person	http://www.idref.fr/077899245
M Wailly	Wailly, Jules de (1806-1866)	http://data.bnf.fr/ark:/12148/cb107327352#foaf:Person	http://www.idref.fr/077899245
M Jules de Wailly	Wailly, Jules de (1806-1866)	http://data.bnf.fr/ark:/12148/cb107327352#foaf:Person	http://www.idref.fr/077899245
M. Wailly	Wailly, Jules de (1806-1866)	http://data.bnf.fr/ark:/12148/cb107327352#foaf:Person	http://www.idref.fr/077899245
M. Jules de Wailly	Wailly, Jules de (1806-1866)	http://data.bnf.fr/ark:/12148/cb107327352#foaf:Person	http://www.idref.fr/077899245
Augustin-Jules de Wailly	Wailly, Jules de (1806-1866)	http://data.bnf.fr/ark:/12148/cb107327352#foaf:Person	http://www.idref.fr/077899245
Jules de Vailly	Wailly, Jules de (1806-1866)	http://data.bnf.fr/ark:/12148/cb107327352#foaf:Person	http://www.idref.fr/077899245
Giovanni Francisco Panica	Wilson, Johnny (1893-1985)	http://data.bnf.fr/ark:/12148/cb16604404g#foaf:Person
Johnny Wilson	Wilson, Johnny (1893-1985)	http://data.bnf.fr/ark:/12148/cb16604404g#foaf:Person
Wilson	Wilson, Johnny (1893-1985)	http://data.bnf.fr/ark:/12148/cb16604404g#foaf:Person
J Wilson	Wilson, Johnny (1893-1985)	http://data.bnf.fr/ark:/12148/cb16604404g#foaf:Person
J. Wilson	Wilson, Johnny (1893-1985)	http://data.bnf.fr/ark:/12148/cb16604404g#foaf:Person
M Wilson	Wilson, Johnny (1893-1985)	http://data.bnf.fr/ark:/12148/cb16604404g#foaf:Person
M Johnny Wilson	Wilson, Johnny (1893-1985)	http://data.bnf.fr/ark:/12148/cb16604404g#foaf:Person
M. Wilson	Wilson, Johnny (1893-1985)	http://data.bnf.fr/ark:/12148/cb16604404g#foaf:Person
M. Johnny Wilson	Wilson, Johnny (1893-1985)	http://data.bnf.fr/ark:/12148/cb16604404g#foaf:Person
Wilhelm Windelband	Windelband, Wilhelm (1848-1915)	http://data.bnf.fr/ark:/12148/cb124386935#foaf:Person	http://dbpedia.org/resource/Wilhelm_Windelband	http://www.idref.fr/03352842X
Windelband	Windelband, Wilhelm (1848-1915)	http://data.bnf.fr/ark:/12148/cb124386935#foaf:Person	http://dbpedia.org/resource/Wilhelm_Windelband	http://www.idref.fr/03352842X
W Windelband	Windelband, Wilhelm (1848-1915)	http://data.bnf.fr/ark:/12148/cb124386935#foaf:Person	http://dbpedia.org/resource/Wilhelm_Windelband	http://www.idref.fr/03352842X
W. Windelband	Windelband, Wilhelm (1848-1915)	http://data.bnf.fr/ark:/12148/cb124386935#foaf:Person	http://dbpedia.org/resource/Wilhelm_Windelband	http://www.idref.fr/03352842X
M Windelband	Windelband, Wilhelm (1848-1915)	http://data.bnf.fr/ark:/12148/cb124386935#foaf:Person	http://dbpedia.org/resource/Wilhelm_Windelband	http://www.idref.fr/03352842X
M Wilhelm Windelband	Windelband, Wilhelm (1848-1915)	http://data.bnf.fr/ark:/12148/cb124386935#foaf:Person	http://dbpedia.org/resource/Wilhelm_Windelband	http://www.idref.fr/03352842X
M. Windelband	Windelband, Wilhelm (1848-1915)	http://data.bnf.fr/ark:/12148/cb124386935#foaf:Person	http://dbpedia.org/resource/Wilhelm_Windelband	http://www.idref.fr/03352842X
M. Wilhelm Windelband	Windelband, Wilhelm (1848-1915)	http://data.bnf.fr/ark:/12148/cb124386935#foaf:Person	http://dbpedia.org/resource/Wilhelm_Windelband	http://www.idref.fr/03352842X
Mang Wang	Wang, Mang	http://data.bnf.fr/ark:/12148/cb13509724j#foaf:Person
Wang	Wang, Mang	http://data.bnf.fr/ark:/12148/cb13509724j#foaf:Person
M Wang	Wang, Mang	http://data.bnf.fr/ark:/12148/cb13509724j#foaf:Person
M. Wang	Wang, Mang	http://data.bnf.fr/ark:/12148/cb13509724j#foaf:Person
M Wang	Wang, Mang	http://data.bnf.fr/ark:/12148/cb13509724j#foaf:Person
M Mang Wang	Wang, Mang	http://data.bnf.fr/ark:/12148/cb13509724j#foaf:Person
M. Wang	Wang, Mang	http://data.bnf.fr/ark:/12148/cb13509724j#foaf:Person
M. Mang Wang	Wang, Mang	http://data.bnf.fr/ark:/12148/cb13509724j#foaf:Person
Samuel Wilderspin	Wilderspin, Samuel (1791-1866)	http://data.bnf.fr/ark:/12148/cb144595887#foaf:Person	http://www.idref.fr/050596942
Wilderspin	Wilderspin, Samuel (1791-1866)	http://data.bnf.fr/ark:/12148/cb144595887#foaf:Person	http://www.idref.fr/050596942
S Wilderspin	Wilderspin, Samuel (1791-1866)	http://data.bnf.fr/ark:/12148/cb144595887#foaf:Person	http://www.idref.fr/050596942
S. Wilderspin	Wilderspin, Samuel (1791-1866)	http://data.bnf.fr/ark:/12148/cb144595887#foaf:Person	http://www.idref.fr/050596942
M Wilderspin	Wilderspin, Samuel (1791-1866)	http://data.bnf.fr/ark:/12148/cb144595887#foaf:Person	http://www.idref.fr/050596942
M Samuel Wilderspin	Wilderspin, Samuel (1791-1866)	http://data.bnf.fr/ark:/12148/cb144595887#foaf:Person	http://www.idref.fr/050596942
M. Wilderspin	Wilderspin, Samuel (1791-1866)	http://data.bnf.fr/ark:/12148/cb144595887#foaf:Person	http://www.idref.fr/050596942
M. Samuel Wilderspin	Wilderspin, Samuel (1791-1866)	http://data.bnf.fr/ark:/12148/cb144595887#foaf:Person	http://www.idref.fr/050596942
Nicolai von Wilm	Wilm, Nicolai von (1834-1911)	http://data.bnf.fr/ark:/12148/cb14024498r#foaf:Person
Wilm	Wilm, Nicolai von (1834-1911)	http://data.bnf.fr/ark:/12148/cb14024498r#foaf:Person
von Wilm	Wilm, Nicolai von (1834-1911)	http://data.bnf.fr/ark:/12148/cb14024498r#foaf:Person
Von Wilm	Wilm, Nicolai von (1834-1911)	http://data.bnf.fr/ark:/12148/cb14024498r#foaf:Person
N Wilm	Wilm, Nicolai von (1834-1911)	http://data.bnf.fr/ark:/12148/cb14024498r#foaf:Person
N. Wilm	Wilm, Nicolai von (1834-1911)	http://data.bnf.fr/ark:/12148/cb14024498r#foaf:Person
N von Wilm	Wilm, Nicolai von (1834-1911)	http://data.bnf.fr/ark:/12148/cb14024498r#foaf:Person
N Von Wilm	Wilm, Nicolai von (1834-1911)	http://data.bnf.fr/ark:/12148/cb14024498r#foaf:Person
N. Von Wilm	Wilm, Nicolai von (1834-1911)	http://data.bnf.fr/ark:/12148/cb14024498r#foaf:Person
N. von Wilm	Wilm, Nicolai von (1834-1911)	http://data.bnf.fr/ark:/12148/cb14024498r#foaf:Person
M von Wilm	Wilm, Nicolai von (1834-1911)	http://data.bnf.fr/ark:/12148/cb14024498r#foaf:Person
M Wilm	Wilm, Nicolai von (1834-1911)	http://data.bnf.fr/ark:/12148/cb14024498r#foaf:Person
M Wilm	Wilm, Nicolai von (1834-1911)	http://data.bnf.fr/ark:/12148/cb14024498r#foaf:Person
M Nicolai von Wilm	Wilm, Nicolai von (1834-1911)	http://data.bnf.fr/ark:/12148/cb14024498r#foaf:Person
M. Wilm	Wilm, Nicolai von (1834-1911)	http://data.bnf.fr/ark:/12148/cb14024498r#foaf:Person
M. Nicolai von Wilm	Wilm, Nicolai von (1834-1911)	http://data.bnf.fr/ark:/12148/cb14024498r#foaf:Person
Richard Henry Waddington	Waddington, Richard (1838-1913)	http://data.bnf.fr/ark:/12148/cb129816685#foaf:Person	http://dbpedia.org/resource/Richard_Waddington	http://www.idref.fr/087604485
Richard Waddington	Waddington, Richard (1838-1913)	http://data.bnf.fr/ark:/12148/cb129816685#foaf:Person	http://dbpedia.org/resource/Richard_Waddington	http://www.idref.fr/087604485
Waddington	Waddington, Richard (1838-1913)	http://data.bnf.fr/ark:/12148/cb129816685#foaf:Person	http://dbpedia.org/resource/Richard_Waddington	http://www.idref.fr/087604485
R Waddington	Waddington, Richard (1838-1913)	http://data.bnf.fr/ark:/12148/cb129816685#foaf:Person	http://dbpedia.org/resource/Richard_Waddington	http://www.idref.fr/087604485
R. Waddington	Waddington, Richard (1838-1913)	http://data.bnf.fr/ark:/12148/cb129816685#foaf:Person	http://dbpedia.org/resource/Richard_Waddington	http://www.idref.fr/087604485
M Waddington	Waddington, Richard (1838-1913)	http://data.bnf.fr/ark:/12148/cb129816685#foaf:Person	http://dbpedia.org/resource/Richard_Waddington	http://www.idref.fr/087604485
M Richard Waddington	Waddington, Richard (1838-1913)	http://data.bnf.fr/ark:/12148/cb129816685#foaf:Person	http://dbpedia.org/resource/Richard_Waddington	http://www.idref.fr/087604485
M. Waddington	Waddington, Richard (1838-1913)	http://data.bnf.fr/ark:/12148/cb129816685#foaf:Person	http://dbpedia.org/resource/Richard_Waddington	http://www.idref.fr/087604485
